broad_category,level1_subject,level2_subject,specific_subject,volume_index,volume_title,source,paragraph_id,primary_subject,keywords,text
动物,动物,昆虫,昆虫,34,卷十七·广动植之二,三校,V34-P765,昆虫,虫、蝎,蝎，鼠负虫巨者多化为蝎。蝎子多负于背，成式尝见蝎负十余子，子色犹白，才如稻粒。成式尝见张希复言，陈州古仓有蝎，形如钱，螫人必死。'江南旧无蝎，开元初，尝有主簿，……
人物政事,人物政事,道士方士,道士方士,34,卷十七·广动植之二,三校,V34-P766,道士方士,道、道士,虱，旧说虱虫饮赤龙所浴水则愈。虱恶水银。人有病虱者，虽香衣沐浴不得已。道士崔白言，荆州秀才张告，尝扪得两头虱。有草生山足湿处，叶如百合，对叶独茎，茎微赤，高一二……
饮食医药,饮食医药,医术药理,医术药理,34,卷十七·广动植之二,三校,V34-P766,医术药理,治、病,虱，旧说虱虫饮赤龙所浴水则愈。虱恶水银。人有病虱者，虽香衣沐浴不得已。道士崔白言，荆州秀才张告，尝扪得两头虱。有草生山足湿处，叶如百合，对叶独茎，茎微赤，高一二……
天文地理,天文地理,地理山水,地理山水,34,卷十七·广动植之二,三校,V34-P766,地理山水,山、水,虱，旧说虱虫饮赤龙所浴水则愈。虱恶水银。人有病虱者，虽香衣沐浴不得已。道士崔白言，荆州秀才张告，尝扪得两头虱。有草生山足湿处，叶如百合，对叶独茎，茎微赤，高一二……
动物,动物,昆虫,昆虫,34,卷十七·广动植之二,三校,V34-P767,昆虫,虫、蝗,"蝗，荆州有帛师，号法通，本安西人。少于东天竺出家，言蝗虫腹下有梵字，或白天下来者，乃忉利天梵天来者。西域验其字作木天坛法禳之。今蝗虫首有""王""字，固自不可晓。或……"
异域物产,异域物产,异国,异国,34,卷十七·广动植之二,三校,V34-P767,异国,西域、天竺,"蝗，荆州有帛师，号法通，本安西人。少于东天竺出家，言蝗虫腹下有梵字，或白天下来者，乃忉利天梵天来者。西域验其字作木天坛法禳之。今蝗虫首有""王""字，固自不可晓。或……"
动物,动物,兽类,兽类,34,卷十七·广动植之二,三校,V34-P768,兽类,狐,野狐鼻涕，螵蛸也，俗呼为野狐鼻涕。
植物,植物,树木,树木,34,卷十七·广动植之二,三校,V34-P769,树木,松、竹,松，今言两粒、五粒，粒当言鬣。成式修竹里私第，大堂前有五鬣松两根，大财如碗，甲子年结实，味如新罗、南诏者不别。五鬣松皮不鳞，中使仇士良水磑亭子在城东，有两鬣皮不……
建筑寺塔,建筑寺塔,宫殿城楼,宫殿城楼,34,卷十七·广动植之二,三校,V34-P769,宫殿城楼,堂、城、亭,松，今言两粒、五粒，粒当言鬣。成式修竹里私第，大堂前有五鬣松两根，大财如碗，甲子年结实，味如新罗、南诏者不别。五鬣松皮不鳞，中使仇士良水磑亭子在城东，有两鬣皮不……
植物,植物,树木,树木,34,卷十七·广动植之二,三校,V34-P770,树木,竹,竹，竹花曰获。死曰荮。六十年一易根，则结实枯死。
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P770,花草,花,竹，竹花曰获。死曰荮。六十年一易根，则结实枯死。
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P771,花草,兰、兰,菡堕竹，大如脚指，腹中白幕兰隔，状如湿面。将成竹而筒皮未落，辄有细虫啮之陨箨，后虫啮处成赤迹，似绣画可爱。
饮食医药,饮食医药,食物饮品,食物饮品,34,卷十七·广动植之二,三校,V34-P772,食物饮品,食、酒,棘竹，一名芭竹，节皆有刺，数十茎为丛。南夷种以为城，卒不可攻。或自崩根出，大如酒瓮，纵横相承，状如缲车，食之落人齿。
器物技艺,器物技艺,武器,武器,34,卷十七·广动植之二,三校,V34-P773,武器,矛、弩,筋竹，南方以为矛。笋未成时，堪为弩弦。
植物,植物,树木,树木,34,卷十七·广动植之二,三校,V34-P774,树木,竹,百叶竹，一枝百叶，有毒。
植物,植物,树木,树木,34,卷十七·广动植之二,三校,V34-P775,树木,竹,《竹谱》：竹类有三十九。
天文地理,天文地理,天象,天象,34,卷十七·广动植之二,三校,V34-P776,天象,月、雨,慈竹，夏月经雨，滴汁下地，生蓐似鹿角，色白，食之已痢也。
建筑寺塔,建筑寺塔,宫殿城楼,宫殿城楼,34,卷十七·广动植之二,三校,V34-P777,宫殿城楼,阁、郭,"异木，大历中，成都百姓郭远，因樵获瑞木一茎，理成字曰""天下太平""，诏藏于秘阁。"
梦兆占卜,梦兆占卜,祥瑞灾异,祥瑞灾异,34,卷十七·广动植之二,三校,V34-P777,祥瑞灾异,瑞、异,"异木，大历中，成都百姓郭远，因樵获瑞木一茎，理成字曰""天下太平""，诏藏于秘阁。"
建筑寺塔,建筑寺塔,寺观塔庙,寺观塔庙,34,卷十七·广动植之二,三校,V34-P778,寺观塔庙,寺、塔,京西持国寺，寺前有槐树数株，金监买株，令所使巧工解之。及入内回，工言木无他异，金大嗟惋，令胶之，曰：「此不堪矣，但使尔知予工也。」乃别理解之，每片天王，塔戟成就……
天文地理,天文地理,地理山水,地理山水,34,卷十七·广动植之二,三校,V34-P779,地理山水,山、野,异树，娄约居常山，据禅座。有野妪，手持树，植之于庭，言此是蜻蜓树。岁久，芬芳郁茂，有一鸟身赤尾长，常止息其上。
动物,动物,兽类,兽类,34,卷十七·广动植之二,三校,V34-P780,兽类,羊,异果，赡披国有人牧羊千百余头，有羊离群，忽失所在。至暮方归，形色鸣吼异常，群羊异。之。明日，遂独行，主因随之，入穴。行五六里，豁然明朗，花木皆非人间所有。羊于处……
人物政事,人物政事,帝王,帝王,34,卷十七·广动植之二,三校,V34-P781,帝王,上、玄宗,甘子，天宝十年，上谓宰臣曰：「近日于宫内种甘子数株，今秋结实一百五十颗，与江南蜀道所进不异。」宰臣贺表曰：「雨露所均，混天区而齐被；草木有性，凭地气而潜通。故得……
天文地理,天文地理,天象,天象,34,卷十七·广动植之二,三校,V34-P781,天象,日、雨,甘子，天宝十年，上谓宰臣曰：「近日于宫内种甘子数株，今秋结实一百五十颗，与江南蜀道所进不异。」宰臣贺表曰：「雨露所均，混天区而齐被；草木有性，凭地气而潜通。故得……
天文地理,天文地理,地理山水,地理山水,34,卷十七·广动植之二,三校,V34-P781,地理山水,江、岭,甘子，天宝十年，上谓宰臣曰：「近日于宫内种甘子数株，今秋结实一百五十颗，与江南蜀道所进不异。」宰臣贺表曰：「雨露所均，混天区而齐被；草木有性，凭地气而潜通。故得……
超自然力量,超自然力量,灵异物件,灵异物件,34,卷十七·广动植之二,三校,V34-P781,灵异物件,异、宝、珍,甘子，天宝十年，上谓宰臣曰：「近日于宫内种甘子数株，今秋结实一百五十颗，与江南蜀道所进不异。」宰臣贺表曰：「雨露所均，混天区而齐被；草木有性，凭地气而潜通。故得……
动物,动物,龙蛇类,龙蛇类,34,卷十七·广动植之二,三校,V34-P782,龙蛇类,龙、蛟,樟木，江东人多取为船，船有与蛟龙斗者。
人物政事,人物政事,帝王,帝王,34,卷十七·广动植之二,三校,V34-P783,帝王,诏,石榴，一名丹若。梁大同中，东州后堂石榴皆生双子。南诏石榴，子大，皮薄如藤纸，味绝于洛中。石榴甜者谓之天浆，能已乳石毒。
动物,动物,鸟类,鸟类,34,卷十七·广动植之二,三校,V34-P784,鸟类,鸟,柿，俗谓柿树有七绝，一寿，二多阴，三无鸟巢，四无虫，五霜叶可玩，六嘉实，七落叶肥大。
动物,动物,昆虫,昆虫,34,卷十七·广动植之二,三校,V34-P784,昆虫,虫,柿，俗谓柿树有七绝，一寿，二多阴，三无鸟巢，四无虫，五霜叶可玩，六嘉实，七落叶肥大。
人物政事,人物政事,帝王,帝王,34,卷十七·广动植之二,三校,V34-P785,帝王,帝、上,汉帝杏，济南郡之东南有分流山，山上多杏，大如梨，黄如橘，土人谓之汉帝杏，亦曰金杏。
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P785,花草,杏、梨,汉帝杏，济南郡之东南有分流山，山上多杏，大如梨，黄如橘，土人谓之汉帝杏，亦曰金杏。
植物,植物,果蔬,果蔬,34,卷十七·广动植之二,三校,V34-P785,果蔬,杏、梨、橘,汉帝杏，济南郡之东南有分流山，山上多杏，大如梨，黄如橘，土人谓之汉帝杏，亦曰金杏。
植物,植物,花草,花草,34,卷十七·广动植之二,三校,V34-P786,花草,花,脂衣柰，汉时紫柰大如升，核紫花青，研之有汁，可漆。或着衣，不可浣也。
