volume_index,volume_title,source,paragraph_id,duplicate_broad_categories,duplicate_specific_subjects,text
27,续·尸穸,三校,X27-P447,器物技艺、丧葬冥界,武器、丧葬,「吊」字，矢贯弓也。古者葬弃中野，《礼》：贯弓而吊，以助鸟兽之害。后魏俗竟厚葬，棺厚高大，多用柏木，两边作大铜鐶钮，不问公私贵贱，悉白油络幰帏［四庫本為「」］车……
27,续·尸穸,三校,X27-P454,植物、丧葬冥界、梦兆占卜,树木、丧葬、祥瑞灾异,元魏时，菩提寺增多发冢取砖，得人，自言姓崔名涵，字子洪，在地下十二年，如醉人，时复游行，不甚辨了。畏日及水火兵刃。常走，疲极则止。洛阳奉洛里多卖送死之具，涵言：……
27,续·尸穸,三校,X27-P458,器物技艺、丧葬冥界、天文地理,武器、丧葬、天象,"刘晏判官李邈，庄在高陵，庄客悬欠租课，积五六年。邈因官罢归庄，方欲勘责，见仓库盈羡，输尚未毕。邈怪问，悉曰：""某作端公庄客二三年矣，久为盗。近开古冢，冢西去庄十……"
27,续·尸穸,三校,X27-P459,器物技艺、梦兆占卜,武器、祥瑞灾异,《水经》言，越王勾践都琅琊，欲移允常冢，冢中风生，飞沙射人，人不得近，遂止。按《汉旧仪》，将作营陵地，内方石，外沙演，户交横莫耶，设伏弩、伏火、弓矢与沙，盖古制……
27,续·尸穸,三校,X27-P460,丧葬冥界、梦兆占卜,丧葬、祥瑞灾异,又侯白《旌异记》曰：「盗发白茅冢，棺内大吼如雷，野雉悉雊。穿内火起，飞焰赫然，盗被烧死。」得非伏火乎？
27,续·尸穸,三校,X27-P461,器物技艺、天文地理,衣饰、天象,永泰初，有王生者，住在扬州孝感寺北。夏月被酒，手垂于床。其妻恐风射，将举之。忽有巨手出于床前，牵王臂坠床，身渐入地。其妻与奴婢共曳之，不禁地如裂状，初余衣带，顷……
27,续·尸穸,三校,X27-P463,植物、天文地理,树木、天象,处士郑宾于言，尝客河北，有村正妻新死，未殓。日暮，其儿女忽觉有乐声渐近，至庭宇，尸已动矣。及入房，如在梁栋间，尸遂起舞。乐声复出，尸倒，旋出门，随乐声而去。其家……
27,续·尸穸,三校,X27-P464,人物政事、佛道宗教,僧尼、佛法,医僧行儒说，福州有弘济上人，斋戒清苦，常于沙岸得一颅骨，遂贮衣篮中归寺。数日，忽眠中有物啮其耳，以手拨之落，声如数升物，疑其颅骨所为也。及明，果坠在床下，遂破为……
28,卷十四·诺皋记上,三校,V28-P466,人物政事、鬼怪妖魅、天文地理、超自然力量,道士方士、鬼、魂魄、天象、法术仙术,夫度朔司刑，可以知其情状；葆登掌祀，将以著于感通。有生尽幻，游魂为变。乃圣人定璇玑之式，立巫祝之官，考乎十辉之祥，正乎九黎之乱。当有道之日，鬼不伤人；在观德之时……
28,卷十四·诺皋记上,三校,V28-P471,建筑寺塔、饮食医药,宫殿城楼、医术药理,天翁姓张名坚，字刺渴，渔阳人。少不羁，无所拘忌。常张罗得一白雀，爱而养之。梦天刘翁责怒，每欲杀之，白雀辄以报坚，坚设诸方待之，终莫能害。天翁遂下观之，坚盛设宾主……
28,卷十四·诺皋记上,三校,V28-P475,人物政事、鬼怪妖魅、建筑寺塔、天文地理,帝王、将相臣子、仙神、宫殿城楼、天象,灶神名隗，状如美女。又姓张名单，字子郭。夫人字卿忌，有六女，皆名察洽。常以月晦日上天白人罪状，大者夺纪，纪三百日，小者夺算，算百日。故为天帝督使，下为地精。己丑……
28,卷十四·诺皋记上,三校,V28-P476,人物政事、鬼怪妖魅、天文地理,帝王、仙神、天象、地理山水,河伯，人面，乘两龙。又曰人面鱼身。《金匮》言名冯循。《河图》言姓吕名夷，《穆天子传》言无夷，《淮南子》言冯迟。《圣贤记》言：「服八石，得水仙。」《抱朴子》曰：「……
28,卷十四·诺皋记上,三校,V28-P477,梦兆占卜、天文地理,祥瑞灾异、地理山水,甲子神名弓隆，欲入水内，呼之，河伯九千导引，入水不溺。甲戍神名执明，呼之，入火不烧。
28,卷十四·诺皋记上,三校,V28-P479,动物、器物技艺、超自然力量,兽类、衣饰、灵异物件,古龟兹国王阿主儿者，有神异，力能降伏毒龙。时有贾人买市人金银宝货，至夜中，钱并化为炭。境内数百家皆失金宝。王有男先出家，成阿罗汉果。王问之，罗汉曰：「此龙所为。……
28,卷十四·诺皋记上,三校,V28-P480,人物政事、动物,将相臣子、兽类,乾陀国昔有王神勇多谋，号伽当，讨袭诸国，所向悉降。至五天竺国，得上细［四庫本為」］二条，自留，与妃。妃因衣其谒王，当妃乳上有郁金香手印迹，王见惊恐，谓妃曰：「尔……
28,卷十四·诺皋记上,三校,V28-P482,鬼怪妖魅、梦兆占卜、天文地理,仙神、祥瑞灾异、地理山水,太原郡东有崖山，天旱，土人常烧此山以求雨。俗传崖山神娶河伯女，故河伯见火，必降雨救之。今山上多生水草。
28,卷十四·诺皋记上,三校,V28-P488,人物政事、建筑寺塔、器物技艺、天文地理,帝王、宫殿城楼、衣饰、地理山水,平原县西十里，旧有杜林。南燕太上末，有邵敬伯者，家于长白山。有人寄敬伯函书，言：「我吴江使也，令吾通问于济伯。今须过长白，幸君为通之。」仍教敬伯，但于杜林中取树……
28,卷十四·诺皋记上,三校,V28-P489,梦兆占卜、天文地理,梦兆、天象、地理山水,妒妇津，相传言，晋大始中，刘伯玉妻段氏，字光明，性妒忌。伯玉常于妻前诵《洛神赋》，语其妻曰：「娶妇得如此，吾无憾焉。」明光曰：「君何以水神善而欲轻我？吾死，何愁……
28,卷十四·诺皋记上,三校,V28-P492,人物政事、建筑寺塔、器物技艺、佛道宗教、天文地理、超自然力量,将相臣子、宫殿城楼、衣饰、佛法、天象、灵异物件,大定初，有士人随新罗使，风吹至处，人皆长须，语与唐言通，号长须国。人物茂盛，栋宇衣冠，稍异中国，地曰扶桑洲。其署官品，有正长、戢波、目役，岛逻等号。士人历谒数处……
28,卷十四·诺皋记上,三校,V28-P493,人物政事、佛道宗教、梦兆占卜、天文地理、超自然力量,帝王、将相臣子、佛法、祥瑞灾异、天象、地理山水、灵异物件,天宝初，安思顺进五色玉带，又于左藏库中得五色玉杯。上怪近日西尽无五色玉，令责安西诸蕃。蕃言：「比常进皆为小勃律所劫，不达。」上怒，欲征之。群臣多谏，独李右座赞成……
